Date Pub,Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
il y a 11 heures,Oujda,2017,Manuelle,Diesel,140 000 - 149 999,Mercedes-Benz,Vito,,,,9 CV,Excellent,253 000 DH
il y a 3 heures,Tétouan,2023,Manuelle,Diesel,110 000 - 119 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent,148 000 DH
il y a 6 heures,Casablanca,2019,Manuelle,Diesel,190 000 - 199 999,Dacia,Logan,,,,4 CV,Excellent,105 000 DH
il y a 6 heures,Casablanca,2021,Automatique,Diesel,110 000 - 119 999,Peugeot,2008,5,WW au Maroc,Oui,6 CV,Excellent,232 000 DH
il y a 6 heures,Agadir,2020,Automatique,Diesel,120 000 - 129 999,Volkswagen,Arteon,5,WW au Maroc,Oui,8 CV,Très bon,242 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Hybride,50 000 - 54 999,Toyota,C-HR,5,WW au Maroc,Non,9 CV,Excellent,232 000 DH
il y a 6 heures,Agadir,2011,Automatique,Diesel,190 000 - 199 999,Volkswagen,Touareg,,,,11 CV,,138 000 DH
il y a 6 heures,Ifrane,2012,Manuelle,Diesel,180 000 - 189 999,BMW,Série 3,5,Dédouanée,Oui,8 CV,Très bon,115 000 DH
il y a 6 heures,Casablanca,2013,Automatique,Diesel,180 000 - 189 999,Volvo,V40,5,WW au Maroc,Non,8 CV,Excellent,138 000 DH
il y a 1 heure,Kénitra,2020,Automatique,Diesel,95 000 - 99 999,Mercedes-Benz,Classe GLE,5,Importée neuve,Oui,10 CV,Excellent,540 000 DH
il y a 7 heures,Rabat,2018,Automatique,Diesel,160 000 - 169 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Très bon,298 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Diesel,75 000 - 79 999,Ford,Kuga,,,,8 CV,Excellent,269 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Hybride,60 000 - 64 999,Mercedes-Benz,Classe CLA,5,Pas encore dédouanée,Non,8 CV,Excellent,520 000 DH
il y a 7 heures,Rabat,2022,Manuelle,Diesel,90 000 - 94 999,Renault,Express,5,WW au Maroc,Non,6 CV,Très bon,148 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Diesel,110 000 - 119 999,Land Rover,Range Rover Evoque,5,WW au Maroc,Oui,12 CV,Excellent,270 000 DH
il y a 7 heures,Casablanca,2025,Manuelle,Essence,0 - 4 999,Opel,Corsa,5,WW au Maroc,Oui,7 CV,Bon,193 000 DH
il y a 7 heures,Agadir,2002,Manuelle,Diesel,200 000 - 249 999,Skoda,Octavia,5,WW au Maroc,,8 CV,Excellent,78 000 DH
il y a 12 heures,Casablanca,2023,Automatique,Diesel,25 000 - 29 999,Kia,Carens,5,WW au Maroc,Oui,6 CV,Excellent,260 000 DH
