Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Salé,2022,Automatique,Hybride,42499.5,Toyota,C-HR,5.0,WW au Maroc,Oui,10,227000
Casablanca,2023,Automatique,Diesel,82499.5,Audi,Q8,5.0,WW au Maroc,Oui,12,750000
Marrakech,2018,Automatique,Diesel,194999.5,Jeep,Grand Cherokee,5.0,WW au Maroc,Oui,12,180000
Tanger,2023,Automatique,Hybride,12499.5,Toyota,Corolla,5.0,WW au Maroc,Oui,10,250000
Marrakech,2023,Automatique,Essence,27499.5,Fiat,500 X,5.0,WW au Maroc,Oui,8,200000
Marrakech,2016,Manuelle,Diesel,164999.5,Toyota,Yaris,5.0,WW au Maroc,Non,6,108000
Casablanca,2021,Automatique,Diesel,114999.5,Volvo,S90,5.0,WW au Maroc,Non,9,328000
Marrakech,2016,Automatique,Diesel,154999.5,Mercedes-Benz,Classe GLC,5.0,WW au Maroc,Oui,9,330000
Casablanca,2019,Automatique,Essence,92499.5,Porsche,Macan,5.0,Importée neuve,Non,11,510000
Rabat,2021,Automatique,Diesel,124999.5,Mercedes-Benz,Classe CLA,5.0,Dédouanée,Oui,8,500000
Casablanca,2020,Automatique,Diesel,124999.5,Volkswagen,Tiguan,5.0,Dédouanée,Non,8,300000
Fès,2022,Manuelle,Diesel,62499.5,Peugeot,301,5.0,WW au Maroc,Oui,6,135000
Tétouan,2025,Automatique,Diesel,12499.5,Hyundai,Tucson,5.0,WW au Maroc,Oui,6,360000
Rabat,2021,Manuelle,Diesel,17499.5,Peugeot,208,5.0,WW au Maroc,Non,6,148000
Agadir,2020,Automatique,Diesel,164999.5,Volkswagen,Touareg,5.0,WW au Maroc,Non,12,345000
Casablanca,2017,Automatique,Diesel,124999.5,Jeep,Wrangler,5.0,WW au Maroc,Non,11,278000
Casablanca,2021,Automatique,Diesel,124999.5,BMW,Série 3,5.0,WW au Maroc,Oui,8,310000
Casablanca,2020,Automatique,Diesel,104999.5,Renault,Talisman,5.0,WW au Maroc,Oui,6,215000
Casablanca,2021,Automatique,Diesel,47499.5,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Oui,8,355000
Agadir,2017,Automatique,Diesel,224999.5,Volkswagen,Tiguan,5.0,Dédouanée,Non,8,310000
Tétouan,2019,Automatique,Diesel,104999.5,Mercedes-Benz,Classe A,5.0,Dédouanée,Oui,6,360000
Casablanca,2020,Automatique,Diesel,104999.5,Renault,Talisman,5.0,WW au Maroc,Oui,6,215000
Casablanca,2008,Automatique,Diesel,224999.5,Mercedes-Benz,280,5.0,WW au Maroc,Oui,12,85000
Casablanca,2024,Automatique,Diesel,37499.5,Mercedes-Benz,Classe C,5.0,Importée neuve,Oui,8,760000
Casablanca,2023,Automatique,Diesel,42499.5,Audi,Q5,5.0,WW au Maroc,Oui,8,640000
Casablanca,2023,Automatique,Essence,92499.5,Nissan,Qashqai,5.0,WW au Maroc,Oui,8,228000
